user_id,journey_id,touchpoint_id,touchpoint_sequence,touchpoint_date,source_day_int,channel,channel_stage,converted,conversion_date,sales_count,revenue,is_clicked,is_click_landed,source_campaign_id,source_publisher_id
000054bf046d63f42abc085b13500de7,D01_000054bf046d63f42abc085b13500de7,cbc886041968dc7a0cef2e69d713b332,1,2025-01-01,1,Publisher 01,Display placement,0,,0.0,0.0,0,0,1483438238,332916476.0
000054bf046d63f42abc085b13500de7,D01_000054bf046d63f42abc085b13500de7,2300afc4a9141342a5f1d6e3ca3b3351,2,2025-01-01,1,Publisher 01,Display placement,0,,0.0,0.0,0,0,3050883759,332916476.0
00014e4b3b1383bc35bdc775aa2184e3,D01_00014e4b3b1383bc35bdc775aa2184e3,c92860d552014a8e5fbae712ab53b21e,1,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,0,0,3554508012,-382184223.0
00014e4b3b1383bc35bdc775aa2184e3,D01_00014e4b3b1383bc35bdc775aa2184e3,b16d92aeb6527012ec7cc8f9fbf953bc,2,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,1,1,3554508012,1607389416.0
0004b325097d4d9a021c146414c3c87e,D01_0004b325097d4d9a021c146414c3c87e,510806f8130ffa318e534c2c18bf97c3,1,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,1,1,3422097413,557949410.0
0004b325097d4d9a021c146414c3c87e,D01_0004b325097d4d9a021c146414c3c87e,71836bcf2b11fbebcfda4ed866938b99,2,2025-01-01,1,Publisher 01,Display placement,0,,0.0,0.0,1,1,2580941375,332916476.0
0009ca0d9377723aa74b24b29448b44e,D01_0009ca0d9377723aa74b24b29448b44e,b1288145e6ae6b42f8d43498859e2fb1,1,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,0,0,3125190451,302179169.0
0009ca0d9377723aa74b24b29448b44e,D01_0009ca0d9377723aa74b24b29448b44e,5eee733f4ee961806a87bbce04ebaa33,2,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,0,0,2812728802,302179169.0
000b1bb42f33a4863a5af6aba3003a1e,D01_000b1bb42f33a4863a5af6aba3003a1e,faf0f5e6e21833a099291eb65b7da1dc,1,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,0,0,3862722331,1055033768.0
000b1bb42f33a4863a5af6aba3003a1e,D01_000b1bb42f33a4863a5af6aba3003a1e,40e65ab32bc127e4b182da7007a5ed42,2,2025-01-01,1,Long-tail placements,Display placement,0,,0.0,0.0,0,0,597569634,-270580529.0
001205779443531319a0f034cb358d96,D01_001205779443531319a0f034cb358d96,141c3a209a1d148c9cef1928eb8df367,1,2025-01-01,1,Publisher 01,Display placement,0,,0.0,0.0,1,1,933896423,332916476.0
001205779443531319a0f034cb358d96,D01_001205779443531319a0f034cb358d96,fc7befff37be2795f69faec13d4668bc,2,2025-01-01,1,Publisher 01,Display placement,0,,0.0,0.0,1,1,933896423,332916476.0
0012f001a799d6a257d2bf5cdd531f59,D01_0012f001a799d6a257d2bf5cdd531f59,78f79de876d8f05b7f70c1a1dae86fe5,1,2025-01-01,1,Publisher 03,Display placement,0,,0.0,0.0,1,1,3650525440,1083606781.0
0012f001a799d6a257d2bf5cdd531f59,D01_0012f001a799d6a257d2bf5cdd531f59,ddfcf86cdc44c1e3e6c2d67d9a88468f,2,2025-01-01,1,Publisher 03,Display placement,0,,0.0,0.0,1,1,3650525440,1083606781.0
