path_string,journeys,conversion_rate,avg_revenue_per_journey
Display,365,0.0410958904109589,6.948328767123286
Paid Social,340,0.05,8.588588235294118
Organic Search,298,0.03355704697986577,5.831208053691276
Paid Search,270,0.07407407407407407,14.71737037037037
Organic Search > Paid Search,186,0.08064516129032258,14.468763440860215
Display > Paid Search,177,0.0847457627118644,14.121581920903955
Referral,175,0.05142857142857143,8.42542857142857
Paid Social > Paid Search,169,0.11242603550295859,21.29627218934911
Paid Search > Direct,161,0.06832298136645963,10.443105590062112
Display > Direct,159,0.05660377358490566,9.746415094339623
Organic Search > Direct,158,0.05063291139240506,6.406772151898734
Paid Social > Direct,156,0.10897435897435898,17.501923076923077
