user_id,journey_id,touchpoint_id,touchpoint_sequence,touchpoint_date,channel,channel_stage,converted,conversion_probability,conversion_date,revenue
U000001,J000001,J000001_T01,1,2026-02-09,Direct,Decision,0,0.14185,,0.0
U000001,J000001,J000001_T02,2,2026-02-11,Email,Decision,0,0.14185,,0.0
U000001,J000001,J000001_T03,3,2026-02-12,Organic Search,Consideration,0,0.14185,,0.0
U000001,J000001,J000001_T04,4,2026-02-12,Organic Search,Consideration,0,0.14185,,0.0
U000001,J000001,J000001_T05,5,2026-02-15,Email,Decision,0,0.14185,,0.0
U000002,J000002,J000002_T01,1,2026-01-16,Affiliate,Consideration,0,0.04698,,0.0
U000003,J000003,J000003_T01,1,2026-01-29,Referral,Consideration,0,0.25923,,0.0
U000003,J000003,J000003_T02,2,2026-02-03,Display,Awareness,0,0.25923,,0.0
U000003,J000003,J000003_T03,3,2026-02-05,Paid Social,Awareness,0,0.25923,,0.0
U000003,J000003,J000003_T04,4,2026-02-05,Affiliate,Consideration,0,0.25923,,0.0
U000003,J000003,J000003_T05,5,2026-02-07,Email,Decision,0,0.25923,,0.0
U000004,J000004,J000004_T01,1,2026-03-07,Referral,Consideration,0,0.08707,,0.0
U000004,J000004,J000004_T02,2,2026-03-07,Organic Search,Consideration,0,0.08707,,0.0
U000005,J000005,J000005_T01,1,2026-03-01,Paid Social,Awareness,0,0.17799,,0.0
U000005,J000005,J000005_T02,2,2026-03-03,Affiliate,Consideration,0,0.17799,,0.0
U000005,J000005,J000005_T03,3,2026-03-06,Paid Social,Awareness,0,0.17799,,0.0
U000005,J000005,J000005_T04,4,2026-03-09,Email,Decision,0,0.17799,,0.0
U000005,J000005,J000005_T05,5,2026-03-09,Email,Decision,0,0.17799,,0.0
U000006,J000006,J000006_T01,1,2026-01-15,Organic Search,Consideration,0,0.05166,,0.0
U000007,J000007,J000007_T01,1,2026-02-12,Display,Awareness,0,0.14064,,0.0
U000007,J000007,J000007_T02,2,2026-02-12,Organic Search,Consideration,0,0.14064,,0.0
U000007,J000007,J000007_T03,3,2026-02-17,Paid Social,Awareness,0,0.14064,,0.0
U000007,J000007,J000007_T04,4,2026-02-18,Organic Search,Consideration,0,0.14064,,0.0
U000007,J000007,J000007_T05,5,2026-02-23,Direct,Decision,0,0.14064,,0.0
U000008,J000008,J000008_T01,1,2026-01-25,Paid Search,Consideration,0,0.14307,,0.0
U000008,J000008,J000008_T02,2,2026-01-28,Paid Social,Awareness,0,0.14307,,0.0
U000008,J000008,J000008_T03,3,2026-02-02,Display,Awareness,0,0.14307,,0.0
